1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80
4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80
4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80
4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80
4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80
4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80
4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80
4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80
4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80
4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80
4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80
4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80
4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80
4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80
4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80
4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80
4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80
4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80
4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80
4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80
4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80
4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80
4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80
4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80
4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80
4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80
4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80
4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80
4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80
4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80
4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80
4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80
4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80
4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80
4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80
4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80
4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80
4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80
4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80
4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80
4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80
4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80
4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80
4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80
4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80
4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80
4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80
4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80
4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80
4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80
4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80
4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80
4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80
4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80
4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80
4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80
4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80
4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80
4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80
4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80
4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80
4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80
4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80
4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80
4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80
4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80
4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80
4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80
4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80
